date,time,ip_address,method,uri,status_code,user_agent,bytes_transferred,response_time_ms
2026-04-22,15:49:47,41.203.207.139,GET,/index.html,200,Mozilla/5.0 Safari iPhone,18400,406
2026-04-22,15:51:44,41.203.207.139,GET,/digital-transformation.php,200,Mozilla/5.0 Safari iPhone,20736,225
2026-04-25,20:09:02,197.249.191.100,GET,/index.html,200,Mozilla/5.0 Edge Windows,24097,267
2026-04-25,20:11:08,197.249.191.100,GET,/ai-assistant.php,304,Mozilla/5.0 Edge Windows,0,157
2026-04-25,20:17:27,197.249.191.100,GET,/js/main.js,200,Mozilla/5.0 Edge Windows,54501,304
2026-04-25,20:20:51,197.249.191.100,GET,/scheduledemo.php,200,Mozilla/5.0 Edge Windows,14983,162
2026-02-03,12:38:07,102.128.224.73,GET,/index.html,200,Mozilla/5.0 Safari MacOS,20848,140
2026-02-03,12:43:50,102.128.224.73,GET,/ai-assistant.php,200,Mozilla/5.0 Safari MacOS,15586,178
2026-02-03,12:48:48,102.128.224.73,GET,/digital-transformation.php,200,Mozilla/5.0 Safari MacOS,15816,224
2026-03-20,10:52:12,196.44.210.191,GET,/index.html,200,Mozilla/5.0 Chrome Windows,16629,77
2026-03-20,10:53:01,196.44.210.191,GET,/ai-assistant.php,200,Mozilla/5.0 Chrome Windows,12007,306
2026-02-19,15:47:17,197.211.33.242,GET,/index.html,200,Mozilla/5.0 Firefox Windows,20307,222
2026-02-19,15:48:48,197.211.33.242,GET,/digital-transformation.php,304,Mozilla/5.0 Firefox Windows,0,283
2026-02-19,15:54:34,197.211.33.242,GET,/css/site.css,200,Mozilla/5.0 Firefox Windows,10452,276
2026-02-19,15:58:23,197.211.33.242,GET,/ai-assistant.php,200,Mozilla/5.0 Firefox Windows,21553,353
2026-03-19,10:28:48,105.245.166.96,GET,/index.html,200,Mozilla/5.0 Edge Windows,14493,279
2026-03-19,10:30:43,105.245.166.96,GET,/ai-assistant.php,200,Mozilla/5.0 Edge Windows,14053,163
2026-03-11,09:15:27,105.245.236.14,GET,/index.html,304,Mozilla/5.0 Chrome Android,0,315
2026-03-11,09:17:10,105.245.236.14,GET,/cybersecurity-monitoring.php,404,Mozilla/5.0 Chrome Android,23381,137
2026-02-08,10:04:28,102.128.29.18,GET,/index.html,200,Mozilla/5.0 Safari MacOS,17053,232
2026-02-08,10:11:15,102.128.29.18,GET,/prototype.php,200,Mozilla/5.0 Safari MacOS,18187,66
2026-01-08,19:38:24,41.70.78.16,GET,/index.html,200,Mozilla/5.0 Firefox Windows,22749,134
2026-01-08,19:44:37,41.70.78.16,GET,/pricing.php,200,Mozilla/5.0 Firefox Windows,20090,198
2026-02-27,09:20:44,102.128.209.250,GET,/index.html,200,Mozilla/5.0 Safari iPhone,19207,239
2026-02-27,09:22:05,102.128.209.250,GET,/risk-assessment.php,200,Mozilla/5.0 Safari iPhone,25023,284
2026-03-02,06:27:56,197.249.14.26,GET,/index.html,200,Mozilla/5.0 Firefox Windows,7027,212
2026-03-02,06:29:16,197.249.14.26,GET,/cybersecurity-monitoring.php,200,Mozilla/5.0 Firefox Windows,19192,84
2026-05-05,09:33:33,196.44.175.253,GET,/index.html,200,Mozilla/5.0 Safari MacOS,17905,110
2026-05-05,09:35:58,196.44.175.253,GET,/index.html,200,Mozilla/5.0 Safari MacOS,14047,148
2026-02-28,14:12:44,196.44.11.252,GET,/index.html,200,Mozilla/5.0 Firefox Windows,17387,195
2026-02-28,14:16:34,196.44.11.252,GET,/case-studies.php,304,Mozilla/5.0 Firefox Windows,0,223
2026-04-26,14:18:58,102.128.11.83,GET,/index.html,304,Mozilla/5.0 Safari MacOS,0,229
2026-03-14,09:34:38,197.211.27.59,GET,/index.html,200,Mozilla/5.0 Firefox Windows,16824,326
2026-03-14,09:39:33,197.211.27.59,GET,/risk-assessment.php,304,Mozilla/5.0 Firefox Windows,0,347
2026-03-14,09:45:55,197.211.27.59,GET,/js/main.js,304,Mozilla/5.0 Firefox Windows,0,272
2026-03-14,09:49:51,197.211.27.59,GET,/digital-transformation.php,200,Mozilla/5.0 Firefox Windows,7102,211
2026-04-27,10:38:10,102.128.72.18,GET,/index.html,200,Mozilla/5.0 Safari MacOS,14180,202
2026-04-27,10:42:44,102.128.72.18,GET,/cybersecurity-monitoring.php,200,Mozilla/5.0 Safari MacOS,18689,134
2026-04-27,10:47:16,102.128.72.18,GET,/favicon.ico,304,Mozilla/5.0 Safari MacOS,0,268
2026-02-15,14:58:25,102.128.92.70,GET,/index.html,304,Mozilla/5.0 Safari iPhone,0,253
2026-02-15,15:04:14,102.128.92.70,GET,/ai-assistant.php,200,Mozilla/5.0 Safari iPhone,29032,214
2026-05-15,08:56:38,154.120.16.81,GET,/index.html,304,Mozilla/5.0 Firefox Windows,0,375
2026-05-15,08:57:28,154.120.16.81,GET,/resources.php,200,Mozilla/5.0 Firefox Windows,7545,104
2026-03-18,08:23:22,102.128.76.51,GET,/index.html,200,Mozilla/5.0 Chrome Android,20812,354
2026-01-01,10:42:56,154.72.218.131,GET,/index.html,200,Mozilla/5.0 Edge Windows,9521,180
2026-01-01,10:48:25,154.72.218.131,GET,/ai-assistant.php,200,Mozilla/5.0 Edge Windows,17357,152
2026-02-02,10:33:05,154.120.58.10,GET,/index.html,200,Mozilla/5.0 Edge Windows,15896,217
2026-02-02,10:39:13,154.120.58.10,GET,/cybersecurity-monitoring.php,200,Mozilla/5.0 Edge Windows,20819,87
2026-02-02,10:39:36,154.120.58.10,GET,/ai-assistant.php,200,Mozilla/5.0 Edge Windows,13123,319
2026-01-04,09:32:17,102.212.25.40,GET,/index.html,200,Mozilla/5.0 Firefox Windows,25575,111
2026-01-04,09:32:51,102.212.25.40,GET,/predictive-maintenance.php,200,Mozilla/5.0 Firefox Windows,23295,324
2026-01-04,09:38:26,102.212.25.40,GET,/prototype.php,200,Mozilla/5.0 Firefox Windows,11810,277
2026-02-18,13:21:50,154.120.7.51,GET,/index.html,200,Mozilla/5.0 Chrome Windows,15513,63
2026-02-18,13:27:02,154.120.7.51,GET,/cybersecurity-monitoring.php,200,Mozilla/5.0 Chrome Windows,10822,78
2026-03-13,08:53:45,105.245.140.211,GET,/index.html,200,Mozilla/5.0 Firefox Windows,22990,107
2026-03-13,08:57:27,105.245.140.211,GET,/case-studies.php,200,Mozilla/5.0 Firefox Windows,9496,254
2026-03-23,15:04:08,41.70.75.51,GET,/index.html,200,Mozilla/5.0 Chrome Windows,22751,146
2026-03-23,15:10:31,41.70.75.51,GET,/ai-assistant.php,200,Mozilla/5.0 Chrome Windows,18563,183
2026-02-23,15:20:02,102.128.250.198,GET,/index.html,200,Mozilla/5.0 Firefox Windows,19523,117
2026-02-23,15:24:44,102.128.250.198,GET,/prototype.php,304,Mozilla/5.0 Firefox Windows,0,173
2026-02-23,15:27:54,102.128.250.198,GET,/images/events.jpg,304,Mozilla/5.0 Firefox Windows,0,263
2026-04-18,10:39:08,105.245.64.167,GET,/robots.txt,200,Googlebot/2.1,6879,80
2026-04-18,10:45:12,105.245.64.167,GET,/index.html,304,Googlebot/2.1,0,139
2026-04-14,12:26:12,102.128.208.105,GET,/index.html,200,Mozilla/5.0 Firefox Windows,32390,99
2026-04-14,12:29:10,102.128.208.105,GET,/risk-assessment.php,200,Mozilla/5.0 Firefox Windows,22827,200
2026-02-20,14:41:27,102.128.176.207,GET,/index.html,200,Mozilla/5.0 Safari iPhone,7361,297
2026-02-20,14:48:07,102.128.176.207,GET,/cybersecurity-monitoring.php,200,Mozilla/5.0 Safari iPhone,15758,82
2026-02-20,14:50:23,102.128.176.207,GET,/digital-transformation.php,200,Mozilla/5.0 Safari iPhone,23110,195
2026-04-28,09:15:16,102.128.133.98,GET,/index.html,200,Mozilla/5.0 Chrome Android,15578,123
2026-02-13,14:44:38,196.44.8.250,GET,/index.html,304,Mozilla/5.0 Edge Windows,0,322
2026-02-13,14:47:38,196.44.8.250,GET,/resources.php,200,Mozilla/5.0 Edge Windows,25946,234
2026-04-24,08:50:24,154.120.198.189,GET,/index.html,200,Mozilla/5.0 Safari MacOS,16686,364
2026-04-24,08:54:58,154.120.198.189,GET,/ai-assistant.php,200,Mozilla/5.0 Safari MacOS,24817,195
2026-05-09,06:39:21,102.128.6.28,GET,/index.html,200,Mozilla/5.0 Safari iPhone,5151,180
2026-05-09,06:40:35,102.128.6.28,GET,/cybersecurity-monitoring.php,304,Mozilla/5.0 Safari iPhone,0,133
2026-05-09,06:43:13,102.128.6.28,GET,/images/events.jpg,304,Mozilla/5.0 Safari iPhone,0,203
2026-05-14,15:53:01,102.128.134.175,GET,/index.html,200,Mozilla/5.0 Safari MacOS,14045,276
2026-05-14,15:54:43,102.128.134.175,GET,/cybersecurity-monitoring.php,200,Mozilla/5.0 Safari MacOS,25705,263
2026-04-14,03:48:36,197.211.155.231,GET,/pricing.php,200,Googlebot/2.1,25257,109
2026-04-14,03:52:04,197.211.155.231,GET,/contact.php,404,Googlebot/2.1,21365,403
2026-02-26,10:52:30,105.245.104.14,GET,/index.html,304,Mozilla/5.0 Firefox Windows,0,247
2026-02-26,10:55:43,105.245.104.14,GET,/predictive-maintenance.php,200,Mozilla/5.0 Firefox Windows,23994,140
2026-02-26,10:59:49,105.245.104.14,GET,/risk-assessment.php,200,Mozilla/5.0 Firefox Windows,23007,261
2026-04-22,21:39:04,105.245.31.175,GET,/index.html,304,Mozilla/5.0 Safari MacOS,0,189
2026-04-22,21:43:38,105.245.31.175,GET,/resources.php,200,Mozilla/5.0 Safari MacOS,18082,224
2026-02-17,15:49:42,102.128.32.144,GET,/index.html,200,Mozilla/5.0 Chrome Android,11058,176
2026-02-17,15:55:18,102.128.32.144,GET,/pricing.php,200,Mozilla/5.0 Chrome Android,12691,187
2026-05-07,10:10:08,197.211.8.183,GET,/index.html,200,Mozilla/5.0 Edge Windows,20099,282
2026-04-03,20:57:08,102.128.26.192,GET,/index.html,200,Mozilla/5.0 Safari MacOS,5989,106
2026-04-03,21:01:50,102.128.26.192,GET,/predictive-maintenance.php,200,Mozilla/5.0 Safari MacOS,18472,255
2026-04-22,15:02:06,105.245.14.61,GET,/index.html,200,Mozilla/5.0 Safari iPhone,20965,194
2026-04-22,15:05:46,105.245.14.61,GET,/risk-assessment.php,200,Mozilla/5.0 Safari iPhone,16077,259
2026-01-01,18:35:36,105.245.26.59,GET,/index.html,200,Mozilla/5.0 Firefox Windows,13237,113
2026-01-29,12:21:23,196.44.155.47,GET,/index.html,200,Mozilla/5.0 Safari MacOS,28473,367
2026-01-29,12:28:17,196.44.155.47,GET,/risk-assessment.php,304,Mozilla/5.0 Safari MacOS,0,170
2026-01-29,12:31:21,196.44.155.47,GET,/js/main.js,200,Mozilla/5.0 Safari MacOS,35644,188
2026-02-21,17:58:31,197.211.32.46,GET,/index.html,200,Mozilla/5.0 Safari MacOS,24596,286
